시도명,시군구명,은행구분,지점명,도로명주소,지번주소,위도,경도,구입가능여부,환전가능여부,전화번호,위치설명,데이터기준일자
강원특별자치도,춘천시,춘천농협,남춘천지점,강원특별자치도 춘천시 남춘로 54,강원특별자치도 춘천시 효자동 363-35 ,37.8653,127.733214,Y,Y,033-264-8009,춘천법원 인근,2024-11-26
강원특별자치도,춘천시,춘천농협,소양로지점,강원특별자치도 춘천시 소양로 178,강원특별자치도 춘천시 소양로2가 175-6 ,37.889005,127.725193,Y,Y,033-253-8005,소양로 현대아파트 인근,2024-11-26
강원특별자치도,춘천시,춘천농협,신사우동지점,강원특별자치도 춘천시 사우4길 10,강원특별자치도 춘천시 우두동 761-6 ,37.904328,127.727228,Y,Y,033-255-0710,두미르아파트 건너,2024-11-26
강원특별자치도,춘천시,춘천농협,퇴계지점,강원특별자치도 춘천시 춘주로 145,강원특별자치도 춘천시 퇴계동 903-6 ,37.858937,127.724588,Y,Y,033-253-8014,남부초교 인근,2024-11-26
강원특별자치도,춘천시,춘천농협,후석로지점,강원특별자치도 춘천시 후석로 414,강원특별자치도 춘천시 후평동 555-4 ,37.886933,127.745142,Y,Y,033-253-0381,후평공단 인근,2024-11-26
강원특별자치도,춘천시,춘천농협,애막골지점,강원특별자치도 춘천시 우석로 101번길 29,강원특별자치도 춘천시 석사동 725-4 ,37.866997,127.755905,Y,Y,033-261-8311,우석중학교 인근,2024-11-26
강원특별자치도,춘천시,춘천농협,삼천동지점,강원특별자치도 춘천시 스포츠타운길 486,강원특별자치도 춘천시 온의동 81-4,37.8671,127.7104,Y,Y,033-252-1501,센트럴파크 푸르지오 앞,2024-11-26
강원특별자치도,춘천시,춘천농협,석사무릉지점,강원특별자치도 춘천시 퇴계로 188,강원특별자치도 춘천시 석사동 799-2,37.8573,127.7393,Y,Y,033-264-0544,호산부인과 인근,2024-11-26
강원특별자치도,춘천시,동춘천농협,본점,강원특별자치도 춘천시 동내면 동내로 77,강원특별자치도 춘천시 동내면 신촌리 587-4 ,37.848366,127.761182,Y,Y,033-262-8900,동내면 행정복지센터 건너,2024-11-26
강원특별자치도,춘천시,동춘천농협,거두지점,강원특별자치도 춘천시 동내면 공지로 72,강원특별자치도 춘천시 동내면 거두리 929-4 ,37.853968,127.751323,Y,Y,033-264-1400,거두리 초로지붕 아파트 건너,2024-11-26
강원특별자치도,춘천시,동춘천농협,김유정역지점,강원특별자치도 춘천시 신동면 김유정로 1420,강원특별자치도 춘천시 신동면 증리 933-1 ,37.818118,127.716095,Y,Y,033-262-8904,김유정역 인근,2024-11-26
강원특별자치도,춘천시,동춘천농협,동산지점,강원특별자치도 춘천시 동산면 영서로 416-5,강원특별자치도 춘천시 동산면 봉명리 549-1 ,37.754289,127.795267,Y,Y,033-262-2014,동산치안센터 인근,2024-11-26
강원특별자치도,춘천시,동춘천농협,학곡지점,강원특별자치도 춘천시 동내면 학곡동2길 17,강원특별자치도 춘천시 동내면 학곡리 590,37.838445,127.76102,Y,Y,033-261-8921,춘천IC 인근,2024-11-26
강원특별자치도,춘천시,동춘천농협,호반지점,강원특별자치도 춘천시 동내면 춘천순환로 130,강원특별자치도 춘천시 동내면 거두리 1102-3 ,37.856451,127.75819,Y,Y,033-264-8840,호반베르디움아파트인근,2024-11-26
강원특별자치도,춘천시,강원인삼농협,춘천본점,강원특별자치도 춘천시 안마산로 229,강원특별자치도 춘천시 퇴계동 1013-6 ,37.849212,127.739328,Y,Y,033-261-3484,퇴계한주아파트 인근,2024-11-26
강원특별자치도,춘천시,강원인삼농협,춘천e편한지점,강원특별자치도 춘천시 안마산로 99,강원특별자치도 춘천시 퇴계동 322-115 ,37.854887,127.726955,Y,Y,033-251-6245,e편한아파트 인근,2024-11-26
강원특별자치도,춘천시,남산농협,본점,강원특별자치도 춘천시 남산면 한치로 93,강원특별자치도 춘천시 남산면 창촌리 20090,37.790153,127.647044,Y,Y,033-261-1930,창촌농공단지 인근,2024-11-26
강원특별자치도,춘천시,남산농협,광판지점,강원특별자치도 춘천시 남산면 장터골길 32,강원특별자치도 춘천시 남산면 광판리 591-42 ,37.733964,127.706658,Y,Y,033-263-2521,광판보건지소 인근,2024-11-26
강원특별자치도,춘천시,춘천원예농협,본점,강원특별자치도 춘천시 마장길 39,강원특별자치도 춘천시 사농동 133-1 ,37.909841,127.726958,Y,Y,033-243-6100,춘천시농수산물 도매시장,2024-11-26
강원특별자치도,춘천시,춘천원예농협,남부지점,강원특별자치도 춘천시 퇴계농공로 20종로타워,강원특별자치도 춘천시 석사동 880-3 종로타워 ,37.851592,127.744331,Y,Y,033-263-6013,현진에버빌1차 건너,2024-11-26
강원특별자치도,춘천시,춘천원예농협,봄내지점,강원특별자치도 춘천시 후석로 247,강원특별자치도 춘천시 후평동 25,37.873568,127.75236,Y,Y,033-243-6102,봉의고등학교 인근,2024-11-26
강원특별자치도,춘천시,춘천원예농협,약사지점,강원특별자치도 춘천시 춘천로 71,강원특별자치도 춘천시 효자동 681-20 ,37.87102,127.724634,Y,Y,033-243-4631,디아펠리스 예식장,2024-11-26
강원특별자치도,춘천시,춘천원예농협,온의지점,강원특별자치도 춘천시 영서로 2323,강원특별자치도 춘천시 온의동 147,37.8671,127.717022,Y,Y,033-243-6103,온의동 금호3차 입구,2024-11-26
강원특별자치도,춘천시,춘천강동농협,본점,강원특별자치도 춘천시 동면 가산로 72,강원특별자치도 춘천시 동면 지내리 140-1 ,37.910342,127.781829,Y,Y,033-242-7730,동면종합복지회관 인근,2024-11-26
강원특별자치도,춘천시,춘천강동농협,만천지점,강원특별자치도 춘천시 동면 만천로 116,강원특별자치도 춘천시 동면 만천리 871-11 ,37.881832,127.761847,Y,Y,033-254-9416,한일유엔아이아프트 건너,2024-11-26
강원특별자치도,춘천시,춘천강동농협,장학지점,강원특별자치도 춘천시 동면 춘천로 439,강원특별자치도 춘천시 동면 장학리 858-2 ,37.892014,127.753424,Y,Y,033-252-3950,장학아이파트 인근,2024-11-26
강원특별자치도,춘천시,강원양돈농협,춘천지점,강원특별자치도 춘천시 김유정로 1875,강원특별자치도 춘천시 퇴계동 188-1 ,37.854025,127.736095,Y,Y,033-264-2220,퇴계동중앙하이트1차 앞,2024-11-26
강원특별자치도,춘천시,신북농협,본점,강원특별자치도 춘천시 신북읍 율문길 71,강원특별자치도 춘천시 신북읍 율문리 551-1 ,37.925795,127.745622,Y,Y,033-243-9700,신북면사무소 옆,2024-11-26
강원특별자치도,춘천시,신북농협,북산지점,강원특별자치도 춘천시 북산면 북산로 488,강원특별자치도 춘천시 북산면 오항리 391-2 ,37.987146,127.885041,Y,Y,033-243-3277,북산면행정복지센터 인근,2024-11-26
강원특별자치도,춘천시,신북농협,사북지점,강원특별자치도 춘천시 사북면 지촌길 5,강원특별자치도 춘천시 사북면 지촌리 430-2 ,38.032646,127.641571,Y,Y,033-243-1045,사북면행정복지센터 인근,2024-11-26
강원특별자치도,춘천시,신북농협,고탄지점,강원특별자치도 춘천시 사북면 춘화로 526,강원특별자치도 춘천시 사북면 고탄리 132-1 ,37.987979,127.708865,Y,Y,033-244-1083,송화초교 인근,2024-11-26
강원특별자치도,춘천시,서춘천농협,본점,강원특별자치도 춘천시 서면 박사로 910,강원특별자치도 춘천시 서면 금산리 988-1 ,37.89682,127.693213,Y,Y,033-243-8011,애니메이션박물관 인근,2024-11-26
강원특별자치도,춘천시,춘천철원화천양구축산농협,본점,강원특별자치도 춘천시 후석로440번길 10,강원특별자치도 춘천시 후평동 244-34 ,37.88849,127.744636,Y,Y,033-252-3211,후평공단 인근,2024-11-26
강원특별자치도,춘천시,춘천철원화천양구축산농협,보안지점,강원특별자치도 춘천시 백령로 215,강원특별자치도 춘천시 후평동 910 춘천일성트루엘더퍼스트 ,37.877041,127.74571,Y,Y,033-253-8163,우미린아파트 인근,2024-11-26
강원특별자치도,춘천시,춘천철원화천양구축산농협,효자지점,강원특별자치도 춘천시 효자로 135,강원특별자치도 춘천시 효자동 658-5 ,37.874709,127.734544,Y,Y,033-253-6501,팔호광장 인근,2024-11-26
강원특별자치도,춘천시,춘천철원화천양구축산농협,하나지점,강원특별자치도 춘천시 공지로 226,강원특별자치도 춘천시 효자동 279-19 ,37.86333,127.738744,Y,Y,033-261-5031,춘천효자종합복지관 인근,2024-11-26
강원특별자치도,춘천시,춘천철원화천양구축산농협,중앙지점,강원특별자치도 춘천시 중앙로 172,강원특별자치도 춘천시 근화동 722-3 ,37.874892,127.716265,Y,Y,033-269-5393,구 시외버스터미널 인근,2024-11-26
강원특별자치도,춘천시,춘천철원화천양구축산농협,석사지점,강원특별자치도 춘천시 후석로 44,강원특별자치도 춘천시 석사동 664,37.858255,127.741944,Y,Y,033-263-4434,석사동행정복지센터 옆,2024-11-26
강원특별자치도,춘천시,춘천중부새마을금고,본점,강원특별자치도 춘천시 경춘로 2357,강원특별자치도 춘천시 온의동 512-3 ,37.864241,127.71959,Y,Y,033-258-0900,이마트 인근,2024-11-26
강원특별자치도,춘천시,춘천중부새마을금고,근화지점,강원특별자치도 춘천시 스포츠타운길 530,강원특별자치도 춘천시 온의동 22251,37.868744,127.714868,Y,Y,033-254-2766,온의동 금호아파트 인근,2024-11-26
강원특별자치도,춘천시,춘천중부새마을금고,명동지점,강원특별자치도 춘천시 명동길 24-2,강원특별자치도 춘천시 중앙로2가 13332,37.878655,127.726175,Y,Y,033-254-6617,명동 브라운5번가 인근,2024-11-26
강원특별자치도,춘천시,춘천중부새마을금고,봉의지점,강원특별자치도 춘천시 소양로 212-1,강원특별자치도 춘천시 소양로1가 34274,37.891909,127.72633,Y,Y,033-251-0750,근화동 다이소인근,2024-11-26
강원특별자치도,춘천시,북춘천새마을금고,본점,강원특별자치도 춘천시 충열로 153,강원특별자치도 춘천시 우두동 444-1 ,37.90667,127.739342,Y,Y,033-257-7858,우두사거리,2024-11-26
강원특별자치도,춘천시,북춘천새마을금고,후평지점,강원특별자치도 춘천시 후석로 328,강원특별자치도 춘천시 후평동 701-1 ,37.880374,127.749882,Y,Y,033-251-4729,더샵아파트 맞은편,2024-11-26
강원특별자치도,춘천시,북춘천새마을금고,장학지점,강원특별자치도 춘천시 동면 춘천로 453,강원특별자치도 춘천시 동면 장학리 1007-3 ,37.892756,127.755059,Y,Y,033-252-4729,장학교차로 MS마트 대각선,2024-11-26
강원특별자치도,춘천시,춘천남부새마을금고,본점,강원특별자치도 춘천시 안마산로 213,강원특별자치도 춘천시 퇴계동 79,37.849956,127.737757,Y,Y,033-261-5108,금호아파트 맞은편 퇴계타운상가,2024-11-26
강원특별자치도,춘천시,춘천남부새마을금고,석사지점,강원특별자치도 춘천시 후석로 22,강원특별자치도 춘천시 석사동 807-1 ,37.856756,127.740279,Y,Y,033-261-7900,석사동 국민은행 옆,2024-11-26
강원특별자치도,춘천시,춘천남부새마을금고,애막골지점,강원특별자치도 춘천시 우석로101번길 35,강원특별자치도 춘천시 석사동 725-2 ,37.867214,127.755927,Y,Y,033-261-1188,우석중학교 인근,2024-11-26
강원특별자치도,춘천시,춘천남부새마을금고,퇴계지점,강원특별자치도 춘천시 춘주로 155,강원특별자치도 춘천시 퇴계동 914-5 ,37.858479,127.725442,Y,Y,033-257-5108,남부초등학교 정문 인근,2024-11-26
강원특별자치도,춘천시,춘천남부새마을금고,한숲시티지점,강원특별자치도 춘천시 안마산로 113,강원특별자치도 춘천시 퇴계동 1240,37.854693,127.728467,Y,Y,033-242-9860,이편한 한숲시티아파트 인근,2024-11-26
강원특별자치도,춘천시,춘천동남새마을금고,학곡본점,강원특별자치도 춘천시 동내면 영서로 1785,강원특별자치도 춘천시 동내면 학곡리 306-9 ,37.83601,127.759642,Y,Y,033-261-6636,학곡사거리 인근 굿마트 옆,2024-11-26
강원특별자치도,춘천시,춘천동남새마을금고,거두지점,강원특별자치도 춘천시 동내면 공지로 76,강원특별자치도 춘천시 동내면 거두리 929-3 ,37.854112,127.751038,Y,Y,033-262-2885,거두리 하나로마트 옆,2024-11-26
강원특별자치도,춘천시,춘천동남새마을금고,강원대지점,강원특별자치도 춘천시 서부대성로 217,강원특별자치도 춘천시 효자동 626-25 ,37.873799,127.74264,Y,Y,033-243-4700,강대후문 (구)축협사거리,2024-11-26
강원특별자치도,춘천시,춘천동부새마을금고,본점,강원특별자치도 춘천시 춘천로 198,강원특별자치도 춘천시 효자동 643-4 ,37.876633,127.736413,Y,Y,033-254-7805,팔호광장 인근,2024-11-26
강원특별자치도,춘천시,춘천동부새마을금고,효자동지점,강원특별자치도 춘천시 효자로 121,강원특별자치도 춘천시 효자동 661-24 ,37.873591,127.734036,Y,Y,033-254-4672,팔호광장에서 효제초 방향 인근,2024-11-26
강원특별자치도,춘천시,춘천동부새마을금고,후평동지점,강원특별자치도 춘천시 후석로 284,강원특별자치도 춘천시 후평동 801-1 ,37.876794,127.752565,Y,Y,033-254-3338,인공폭포 인근,2024-11-26
강원특별자치도,춘천시,소양강새마을금고,본점,강원특별자치도 춘천시 충열로 4,강원특별자치도 춘천시 우두동 1067-2 ,37.900511,127.729062,Y,Y,0507-1338-7559,사우삼거리 사우동우체국 건너,2024-11-26
강원특별자치도,춘천시,소양강새마을금고,옥산포지점,강원특별자치도 춘천시 영서로 3050,강원특별자치도 춘천시 사농동 274-30 ,37.92437,127.721297,Y,Y,033-257-0113,인형극장사거리에서 신동초 방향,2024-11-26
강원특별자치도,춘천시,소양강새마을금고,강남지점,강원특별자치도 춘천시 퇴계농공로 9,강원특별자치도 춘천시 석사동 885-3 ,37.852342,127.745203,Y,Y,033-263-7559,석사동 안디옥교회 건너,2024-11-26
강원특별자치도,춘천시,소양강새마을금고,약사지점,강원특별자치도 춘천시 공지로 400-1 소양강새마을금고 약사지점,강원특별자치도 춘천시 약사동 77 소양강새마을금고 약사지점,37.8731,127.7241,Y,Y,033-252-7559,약사 모아엘가센텀뷰 상가내,2024-11-26
강원특별자치도,춘천시,봄내신용협동조합,본점,강원특별자치도 춘천시 춘천로 313(후평동),강원특별자치도 춘천시 후평동 704-6 후평동 ,37.882054,127.747352,Y,Y,033-242-5300,포스코더샵아파트(후문) 건너,2024-11-26
강원특별자치도,춘천시,춘천신용협동조합,본점,강원특별자치도 춘천시 중앙로 57(중앙로2가),강원특별자치도 춘천시 중앙로2가 11,37.879856,127.727443,Y,Y,033-251-8500,명동 스타벅스 옆,2024-11-26
강원특별자치도,춘천시,춘천신용협동조합,석사지점,강원특별자치도 춘천시 퇴계로 215(석사동),강원특별자치도 춘천시 석사동 796-15 석사동 ,37.856517,127.742621,Y,Y,033-261-5500,봄내초교 인근,2024-11-26
강원특별자치도,춘천시,춘천신용협동조합,퇴계지점,강원특별자치도 춘천시 퇴계로93번길 3(퇴계동),강원특별자치도 춘천시 퇴계동 1076 퇴계동 ,37.862447,127.730758,Y,Y,033-243-4800,남춘천사거리 강원전문건설회관 옆,2024-11-26
강원특별자치도,춘천시,춘천신용협동조합,근화지점,강원특별자치도 춘천시 방송길 40(근화동),강원특별자치도 춘천시 근화동 714-4 근화동 ,37.872371,127.72056,Y,Y,033-241-8383,미소지움아파트 입구,2024-11-26
강원특별자치도,춘천시,춘천와이신용협동조합,본점,강원특별자치도 춘천시 금강로 120(운교동),강원특별자치도 춘천시 운교동 174-3 운교동 ,37.87547,127.732427,Y,Y,033-255-1007,운교사거리 현진주유소 옆,2024-11-26
강원특별자치도,춘천시,춘천와이신용협동조합,강남지점,강원특별자치도 춘천시 지석로 75(석사동),강원특별자치도 춘천시 석사동 880-5 석사동 ,37.85133,127.743718,Y,Y,033-261-1002,CGV춘천점 건너,2024-11-26
강원특별자치도,춘천시,가톨릭춘천신용협동조합,본점,강원특별자치도 춘천시 약사고개길 21(죽림동),강원특별자치도 춘천시 죽림동 38 죽림동 ,37.876637,127.726557,Y,Y,033-255-6742,죽림동성당 인근,2024-11-26
강원특별자치도,춘천시,가톨릭춘천신용협동조합,거두리지점,강원특별자치도 춘천시 동내면 춘천순환로 136 1층,강원특별자치도 춘천시 거두리 1105-3,37.856518,127.759031,Y,Y,033-262-6742,거두주공아파트 인근,2024-11-26
