기관명,종류,도로명주소,위도,경도,대표전화번호,데이터기준일
춘천탑정형외과의원,의원,"강원특별자치도 춘천시 후석로 6, 5층 (석사동)",37.90892058,127.7335637,033-241-8275,2025-02-10
연세미라클의원,의원,"강원특별자치도 춘천시 방송길 77, 2층 2122~2127, 2256~2257호 (온의동, 춘천 센트럴타워 푸르지오)",37.85555459,127.739172,033-256-2023,2025-02-10
성모스마일내과의원,의원,"강원특별자치도 춘천시 후석로 294, 3층 (후평동)",37.86602661,127.7209037,033-255-0119,2025-02-10
그랜드연합의원,의원,"강원특별자치도 춘천시 중앙로 68, 5~6층 (중앙로2가)",37.86740462,127.721061,033-255-6470,2025-02-10
두드림내과의원,의원,"강원특별자치도 춘천시 우두1길 87, 2층 (우두동)",37.86439364,127.7206899,033-257-2575,2025-02-10
쁘띠365의원,의원,"강원특별자치도 춘천시 중앙로 59, 지하1, 1, 2층 (중앙로2가)",37.87970091,127.7272179,033-818-0650,2025-02-10
우리메디의원,의원,"강원특별자치도 춘천시 우두1길 17, 우리 프라자 3층 303,304호 (우두동)",37.86753246,127.7208393,033-252-7553,2025-02-10
늘찬소아청소년과의원,의원,"강원특별자치도 춘천시 우두1길 101, 306호 (우두동)",37.87935126,127.7292395,033-244-0306,2025-02-10
슬기로운정형외과의원,의원,"강원특별자치도 춘천시 경춘로 2364, 강남병원 2층 (온의동)",37.90669944,127.7287733,033-257-6700,2025-02-10
누가의원,의원,"강원특별자치도 춘천시 중앙로 138, 2층 (소양로4가)",37.85114959,127.7448623,033-261-7400,2025-02-10
늘편한내과의원,의원,"강원특별자치도 춘천시 김유정로 1874, 2층 (퇴계동)",37.8760574,127.7198683,033-261-1147,2025-02-10
서울삼성산부인과의원,의원,"강원특별자치도 춘천시 금강로 67-1, 5층 (조양동)",37.87757509,127.7520015,033-912-8006,2025-02-10
박찬우365의원,의원,"강원특별자치도 춘천시 안마산로 97, 2층 (퇴계동)",37.85358881,127.7362814,033-253-0365,2025-02-10
큰나무이비인후과의원,의원,강원특별자치도 춘천시 방송길 104(온의동),37.87950285,127.750505,033-257-7588,2025-02-10
다온정형외과의원,의원,"강원특별자치도 춘천시 애막골길3번길 33, 1,2,3층 (석사동)",37.87944496,127.7263087,033-262-5533,2025-02-10
팀하트의원,의원,"강원특별자치도 춘천시 경춘로 2354, 2층 (온의동)",37.86368632,127.7201472,033-253-3881,2025-02-10
소재근정형외과의원,의원,"강원특별자치도 춘천시 영서로 2341, 미메디컬타워 2층 (온의동)",37.91136387,127.7385575,033-255-0006,2025-02-10
춘천드림마취통증의학과의원,의원,"강원특별자치도 춘천시 지석로 85, 2,3층 (석사동)",37.90754171,127.7340783,033-261-8275,2025-02-10
봄내랑내과의원,의원,"강원특별자치도 춘천시 후석로 318, 3,4층 (후평동)",37.85504339,127.7503448,033-257-3009,2025-02-10
에스엠이비인후과의원,의원,"강원특별자치도 춘천시 안마산로 111, 2층 (퇴계동)",37.8643851,127.7191001,033-243-5050,2025-02-10
새봄의원,의원,"강원특별자치도 춘천시 동내면 공지로 76, 2층",37.85649915,127.7293268,033-264-5100,2025-02-10
한빛의원,의원,"강원특별자치도 춘천시 사우로 38, 태영빌딩 2층 (사농동)",37.85506391,127.7265138,033-263-6190,2025-02-10
마디온정형외과의원,의원,"강원특별자치도 춘천시 안마산로 107, 2.3.4층 (퇴계동)",37.85411236,127.7510429,033-249-8575,2025-02-10
그랜드우리안과의원,의원,"강원특별자치도 춘천시 중앙로 68, 2층 (중앙로2가)",37.85569789,127.7455406,033-911-3355,2025-02-10
그랜드연합내과의원,의원,"강원특별자치도 춘천시 중앙로 68, 3층 (중앙로2가)",37.86426857,127.7205445,033-257-9222,2025-02-10
비앤비이승준안과의원,의원,"강원특별자치도 춘천시 춘천로17번길 37, 4층 (온의동)",37.86770715,127.7179677,033-252-1080,2025-02-10
지화영소아청소년과의원,의원,"강원특별자치도 춘천시 안마산로 109, 2층 (퇴계동)",37.86755346,127.7525936,033-252-9993,2025-02-10
아름다운성형외과의원,의원,"강원특별자치도 춘천시 터미널길 21, 1층,3층 101호,301호 (온의동)",37.86830986,127.715874,033-241-7771,2025-02-10
맑은정신건강의학과의원,의원,"강원특별자치도 춘천시 경춘로 2362, 2층 201호 (온의동)",37.87658975,127.7346849,033-243-8900,2025-02-10
춘천마음숲정신건강의학과의원,의원,"강원특별자치도 춘천시 방송길 98, 6층 (온의동)",37.87886636,127.7289032,033-256-0426,2025-02-10
까르르 하나 소아청소년과 의원,의원,"강원특별자치도 춘천시 후석로 355, 3층 (후평동)",37.85498705,127.728018,033-251-8882,2025-02-10
함께하는 정신건강의학과 의원,의원,"강원특별자치도 춘천시 동내면 춘천순환로 58, 5층",37.8824849,127.7478134,033-261-1239,2025-02-10
삼성신경외과의원,의원,"강원특별자치도 춘천시 중앙로 136, 5층 (소양로4가)",37.86792307,127.720173,033-251-3227,2025-02-10
소망의원,의원,"강원특별자치도 춘천시 퇴계로 243, 3층 (석사동)",37.86830986,127.715874,033-264-5191,2025-02-10
강남리본정형외과의원,의원,"강원특별자치도 춘천시 후석로 7, 1층 (석사동)",37.87923375,127.7286483,033-263-7500,2025-02-10
오훈정형외과의원,의원,"강원특별자치도 춘천시 영서로 2777, 2, 4층 (우두동)",37.855637,127.7286269,033-255-5055,2025-02-10
YS김안과의원,의원,"강원특별자치도 춘천시 후석로 22, 5층 (석사동, 남부새마을금고석사지점)",37.87944496,127.7263087,033-261-4411,2025-02-10
수앤영산부인과의원,의원,"강원특별자치도 춘천시 금강로 72, 2층 (조양동, 흥안빌딩)",37.86792307,127.720173,033-253-0005,2025-02-10
피부사랑피부과의원,의원,"강원특별자치도 춘천시 금강로 68-2, 3층 (조양동)",37.90115811,127.7284725,033-241-0094,2025-02-10
한림피부과의원,의원,"강원특별자치도 춘천시 후석로 7, 2층 (석사동)",37.86373486,127.7186329,033-263-6263,2025-02-10
이앤신 소아청소년과의원,의원,강원특별자치도 춘천시 동내면 춘천순환로 58,37.87613389,127.7201112,033-263-2255,2025-02-10
서울진마취통증의학과의원,의원,"강원특별자치도 춘천시 춘천로 183, 3,4층 (운교동)",37.85632396,127.7389642,033-244-7786,2025-02-10
정봉기내과의원,의원,강원특별자치도 춘천시 동면 춘천로 457,37.85675111,127.7402781,033-241-1511,2025-02-10
서울아산내과의원,의원,강원특별자치도 춘천시 영서로 2341 (온의동),37.88008384,127.7276265,033-243-0826,2025-02-10
춘천우리마취통증의학과의원,의원,"강원특별자치도 춘천시 영서로 2779, 3층 2호 (우두동, 낙원빌딩)",37.85632396,127.7389642,033-241-6955,2025-02-10
류수정안과의원,의원,"강원특별자치도 춘천시 지석로 85, 2층 203,204호 (석사동)",37.87876084,127.7278853,033-262-6500,2025-02-10
드림아이안과의원,의원,"강원특별자치도 춘천시 방송길 98, 3층 (온의동)",37.85504339,127.7503448,033-241-0025,2025-02-10
햇살따뜻한의원,의원,"강원특별자치도 춘천시 경춘로 2353, 5층 (온의동, 이마트)",37.85114959,127.7448623,033-242-2553,2025-02-10
청담엠의원,의원,"강원특별자치도 춘천시 금강로 68-12, 7층 (조양동, 엠백화점 별관)",37.87613389,127.7201112,033-241-3379,2025-02-10
연세통증의학과의원,의원,강원특별자치도 춘천시 중앙로 91-1 (중앙로2가),37.88007882,127.7502032,033-243-0153,2025-02-10
명석진 내과의원,의원,강원특별자치도 춘천시 후석로186번길 14 (석사동),37.86792307,127.720173,033-263-0938,2025-02-10
김진봉내과의원,의원,"강원특별자치도 춘천시 방송길 98, 4층 (온의동)",37.87755304,127.7245854,033-241-7582,2025-02-10
봄내아이 소아청소년과의원,의원,강원특별자치도 춘천시 지석로 11 (퇴계동),37.89292089,127.7555463,033-264-1191,2025-02-10
셀레스의원,의원,강원특별자치도 춘천시 중앙로 55 (중앙로2가),37.88056958,127.7504162,033-257-9889,2025-02-10
365성모가정의학과의원,의원,"강원특별자치도 춘천시 후석로 352, 2층 (후평동, 국제빌딩)",37.90134678,127.7284316,033-251-3500,2025-02-10
세중힐링의원,의원,강원특별자치도 춘천시 공지로333번길 8 (효자동),37.86730637,127.7537965,033-244-5755,2025-02-10
봄내사랑의원,의원,"강원특별자치도 춘천시 모수물길 70, 2층 (소양로2가)",37.86187646,127.7316644,033-253-9510,2025-02-10
춘천마음벗의원,의원,강원특별자치도 춘천시 후석로 326 (후평동),37.86887787,127.7286885,033-255-0300,2025-02-10
박관영정형외과의원,의원,"강원특별자치도 춘천시 동내면 춘천순환로 62, 2층",37.855202,127.7507097,033-260-4800,2025-02-10
아름다운피부과의원,의원,"강원특별자치도 춘천시 금강로 67-1, 4층 (조양동)",37.88935982,127.7254394,033-242-7975,2025-02-10
주안내과의원,의원,"강원특별자치도 춘천시 지석로 89, 302호 (석사동, 더퍼스트빌딩)",37.87935126,127.7292395,033-263-1500,2025-02-10
춘천밝은안과의원,의원,"강원특별자치도 춘천시 중앙로 136, 4층 (소양로4가)",37.86181443,127.7319812,033-257-1110,2025-02-10
윤덕형내과의원,의원,"강원특별자치도 춘천시 동내면 춘천순환로 58, 2,4층",37.86350653,127.7372487,033-264-9897,2025-02-10
홍내과의원,의원,강원특별자치도 춘천시 보안길 70-2 (후평동),37.8820781,127.7486535,033-244-7722,2025-02-10
한마음 소아청소년과의원,의원,"강원특별자치도 춘천시 후석로 326, 5층 (후평동)",37.85108065,127.7452954,033-241-3667,2025-02-10
제이여성의원,의원,"강원특별자치도 춘천시 춘천순환로 46, 3층 (석사동)",37.8551064,127.7490251,033-264-7097,2025-02-10
춘천정신건강의학과의원,의원,강원특별자치도 춘천시 퇴계로 184 (석사동),37.85360603,127.7375389,033-264-0507,2025-02-10
주니스의원,의원,"강원특별자치도 춘천시 퇴계로105번길 5, 3층 (퇴계동, 지효빌딩)",37.87725382,127.7241035,033-263-7741,2025-02-10
삼성연합의원,의원,강원특별자치도 춘천시 효석로 37 (효자동),37.86318291,127.7357575,033-264-5577,2025-02-10
다나신경외과의원,의원,"강원특별자치도 춘천시 중앙로 59, 4.5층 (중앙로2가)",37.85739064,127.739071,033-253-6700,2025-02-10
다나연세의원,의원,"강원특별자치도 춘천시 중앙로 59, 3층 (중앙로2가)",37.87977181,127.7270229,033-253-6701,2025-02-10
예사랑내과의원,의원,"강원특별자치도 춘천시 퇴계로93번길 4-8, 3층 301호 (퇴계동, 이삭빌딩)",37.85660939,127.7400854,033-264-8875,2025-02-10
연세이상무신경과의원,의원,"강원특별자치도 춘천시 보안길 65, 501호 (후평동, 엠타워빌딩)",37.88007882,127.7502032,033-252-9606,2025-02-10
참조은의원,의원,"강원특별자치도 춘천시 남춘천새길 42, 101호 (석사동, 세경5차아파트)",37.87029257,127.7249929,033-263-5770,2025-02-10
김성중내과의원,의원,강원특별자치도 춘천시 퇴계로105번길 5 (퇴계동),37.87970091,127.7272179,033-261-1554,2025-02-10
김현민정형외과의원,의원,"강원특별자치도 춘천시 동면 춘천순환로 609, 1,2층",37.89317282,127.7556305,033-261-6217,2025-02-10
미사랑의원,의원,강원특별자치도 춘천시 퇴계농공로 22 (석사동),37.86426857,127.7205445,033-263-2638,2025-02-10
미앤아이 의원,의원,강원특별자치도 춘천시 후석로 18 (석사동),37.87622627,127.7353381,033-262-1991,2025-02-10
리온재활의학과의원,의원,강원특별자치도 춘천시 춘천로 188 (효자동),37.85121872,127.7441154,033-241-3322,2025-02-10
그랜드아름다운의원,의원,"강원특별자치도 춘천시 중앙로 68, 4층 (중앙로2가)",37.85504339,127.7503448,1899-5109,2025-02-10
전창호내과의원,의원,강원특별자치도 춘천시 중앙로 136 (소양로4가),37.87944496,127.7263087,033-254-9119,2025-02-10
예손정형외과의원,의원,강원특별자치도 춘천시 중앙로 97 (중앙로3가),37.86181443,127.7319812,033-252-4450,2025-02-10
아산마취통증의학과의원,의원,강원특별자치도 춘천시 중앙로 104 (낙원동),37.85135892,127.7437065,033-244-7585,2025-02-10
튼튼정형외과의원,의원,"강원특별자치도 춘천시 춘천로 68, 1, 2층 (효자동)",37.90134678,127.7284316,033-254-7300,2025-02-10
두리의원,의원,"강원특별자치도 춘천시 안마산로 199, 3층 302호 (퇴계동)",37.87613389,127.7201112,033-263-7582,2025-02-10
한마음연합의원,의원,"강원특별자치도 춘천시 보안길 65 (후평동, 503호,504호)",37.88021676,127.7503507,033-243-7550,2025-02-10
사랑샘안과의원,의원,강원특별자치도 춘천시 후석로 284-1 (후평동),37.87912496,127.7292619,033-241-6484,2025-02-10
선메디라인의원,의원,강원특별자치도 춘천시 지석로 75 (석사동),37.8824849,127.7478134,033-264-7585,2025-02-10
연세플러스비뇨기과의원,의원,강원특별자치도 춘천시 금강로 69 (조양동),37.88021676,127.7503507,033-243-6400,2025-02-10
예인미의원,의원,"강원특별자치도 춘천시 금강로 65, 4층 (조양동)",37.87956417,127.7290694,033-261-1175,2025-02-10
누누베베소아과의원,의원,강원특별자치도 춘천시 충열로 39 (우두동),37.85056058,127.7363543,033-254-2266,2025-02-10
변미숙산부인과의원,의원,"강원특별자치도 춘천시 경춘로 2362, 3층 (온의동)",37.87691784,127.7523737,033-256-5005,2025-02-10
춘천교도소부속의원,의원,강원특별자치도 춘천시 동내면 신촌양지길 5,37.87327862,127.7529267,033-262-1332,2025-02-10
다사랑의원,의원,강원특별자치도 춘천시 영서로 2779 (우두동),37.8994666,127.732723,033-244-8275,2025-02-10
이영순내과의원,의원,강원특별자치도 춘천시 퇴계농공로 22 (석사동),37.85506391,127.7265138,033-263-3007,2025-02-10
춘천순산부인과의원,의원,강원특별자치도 춘천시 중앙로 82-1 (중앙로2가),37.8785311,127.7251501,033-252-2345,2025-02-10
포인트피부과의원,의원,강원특별자치도 춘천시 금강로 69 (조양동),37.85680144,127.7415814,033-252-9700,2025-02-10
고석연가정의학과의원,의원,강원특별자치도 춘천시 후석로 244 (후평동),37.85675111,127.7402781,033-254-0121,2025-02-10
이룸의원,의원,"강원특별자치도 춘천시 안마산로 97, 4층 (퇴계동)",37.85706617,127.7393653,033-263-7218,2025-02-10
안정효내과의원,의원,"강원특별자치도 춘천시 퇴계로 188, 썬타워 3층 (석사동)",37.87727339,127.7233455,033-262-9889,2025-02-10
김도훈재활의학과의원,의원,강원특별자치도 춘천시 후석로 312 (후평동),37.87912496,127.7292619,033-253-6606,2025-02-10
하나내과의원,의원,강원특별자치도 춘천시 후석로 355 (후평동),37.85121872,127.7441154,033-248-7532,2025-02-10
서울삼성의원,의원,강원특별자치도 춘천시 남산면 한치로 98-1,37.87897114,127.75088,070-5220-2660,2025-02-10
신주호정형외과의원,의원,강원특별자치도 춘천시 퇴계로 207 (석사동),37.90115811,127.7284725,033-264-3344,2025-02-10
석사성심안과의원,의원,강원특별자치도 춘천시 퇴계농공로 22 (석사동),37.87828142,127.7248427,033-262-7566,2025-02-10
우성재활의학과의원,의원,강원특별자치도 춘천시 중앙로 86 (중앙로2가),37.8561319,127.7395491,033-257-5455,2025-02-10
우리소아과의원,의원,강원특별자치도 춘천시 영서로 2025 (석사동),37.87912496,127.7292619,033-263-9502,2025-02-10
윤화준소아청소년과의원,의원,강원특별자치도 춘천시 퇴계농공로 22 (석사동),37.87946696,127.7269177,033-262-8275,2025-02-10
김내과의원,의원,강원특별자치도 춘천시 영서로 2777 (우두동),37.85258264,127.7457623,033-252-7595,2025-02-10
웰비뇨기과의원,의원,강원특별자치도 춘천시 후석로 12 (석사동),37.85095435,127.7610632,033-261-9975,2025-02-10
송이비인후과의원,의원,강원특별자치도 춘천시 춘주로 143 (퇴계동),37.85900083,127.7244626,033-244-7550,2025-02-10
배재천신경과의원,의원,강원특별자치도 춘천시 후석로 22 (석사동),37.87727339,127.7233455,033-261-3710,2025-02-10
조세흠성형외과의원,의원,강원특별자치도 춘천시 시청길10번길 4-2 (조양동),37.85863443,127.7251728,033-242-2447,2025-02-10
중앙재활의학과의원,의원,강원특별자치도 춘천시 중앙로 63 (중앙로2가),37.85121872,127.7441154,033-254-7555,2025-02-10
효자한림의원,의원,강원특별자치도 춘천시 춘천로 181 (운교동),37.85489572,127.7269594,033-242-7581,2025-02-10
이정열내과의원,의원,"강원특별자치도 춘천시 춘주로 151, 2층 (퇴계동)",37.85135892,127.7437065,033-243-7659,2025-02-10
안정신건강의학과의원,의원,"강원특별자치도 춘천시 금강로 68-2 (조양동,대원빌딩 4층)",37.8686077,127.7180917,033-244-8333,2025-02-10
윤동석내과의원,의원,강원특별자치도 춘천시 칠전서길 38-14 (칠전동),37.87923375,127.7286483,033-263-7524,2025-02-10
권재활의학과의원,의원,강원특별자치도 춘천시 중앙로 104 (낙원동),37.85747124,127.7398523,033-244-3465,2025-02-10
원정형외과의원,의원,강원특별자치도 춘천시 지석로 75 (석사동),37.78976787,127.6467184,033-264-3500,2025-02-10
호산부인과의원,의원,강원특별자치도 춘천시 퇴계로 189 (석사동),37.85817857,127.7374532,033-264-1700,2025-02-10
성심안과의원,의원,강원특별자치도 춘천시 금강로 69 (조양동),37.88193429,127.7487388,033-256-7585,2025-02-10
참사랑내과의원,의원,강원특별자치도 춘천시 효자로 57 (효자동),37.84217876,127.7133909,033-242-7560,2025-02-10
사랑나무 소아청소년과의원,의원,"강원특별자치도 춘천시 방송길 84 (온의동,롯데마트3층)",37.85121872,127.7441154,033-252-8275,2025-02-10
아름다운산부인과의원,의원,"강원특별자치도 춘천시 터미널길 21, 1~4층 (온의동)",37.87009535,127.7567978,033-244-7800,2025-02-10
우리정형외과의원,의원,강원특별자치도 춘천시 후석로 348-1 (후평동),37.86907966,127.7146232,033-243-7588,2025-02-10
심소아청소년과의원,의원,"강원특별자치도 춘천시 동면 춘천순환로 609, 3층",37.87613389,127.7201112,033-264-0369,2025-02-10
파티마의원,의원,강원특별자치도 춘천시 후석로 16 (석사동),37.87622627,127.7353381,033-263-3055,2025-02-10
성심의원,의원,강원특별자치도 춘천시 퇴계로 166 (퇴계동),37.89317282,127.7556305,033-262-3114,2025-02-10
현대연합의원,의원,강원특별자치도 춘천시 중앙로 136 (소양로4가),37.88024504,127.7285257,033-243-7585,2025-02-10
누가이비인후과의원,의원,강원특별자치도 춘천시 퇴계농공로 10 (석사동),37.85236713,127.7440304,033--263-7544,2025-02-10
사랑마취통증의학과의원,의원,"강원특별자치도 춘천시 안마산로 99-1, 4층 (퇴계동)",37.88021676,127.7503507,033-242-7516,2025-02-10
우리가정의학과의원,의원,"강원특별자치도 춘천시 후석로186번길 10-1 (석사동, 유명빌딩 2층)",37.85645487,127.7398961,033-263-1717,2025-02-10
온세의원,의원,강원특별자치도 춘천시 스포츠타운길 533 (온의동),37.87673827,127.7343186,033-252-7660,2025-02-10
현대정형외과의원,의원,강원특별자치도 춘천시 후석로 10 (석사동),37.85360603,127.7375389,033-262-6300,2025-02-10
허남현내과의원,의원,"강원특별자치도 춘천시 지석로 11, 2층 (퇴계동)",37.87886636,127.7289032,033-263-5010,2025-02-10
김정배이비인후과의원,의원,강원특별자치도 춘천시 후석로 304 (후평동),37.86302472,127.7196787,033-255-7575,2025-02-10
민병철내과의원,의원,"강원특별자치도 춘천시 후석로 326, 403호 (후평동, 엠타워빌딩)",37.87838913,127.7513271,033-251-8242,2025-02-10
구철회내과의원,의원,강원특별자치도 춘천시 춘천로 188 (효자동),37.86914399,127.7299348,033-244-3500,2025-02-10
조도연정형외과의원,의원,"강원특별자치도 춘천시 경춘로 2348, 지하층,1층 (온의동)",37.8767342,127.7349004,033-252-2800,2025-02-10
하나의원,의원,"강원특별자치도 춘천시 후석로 355 (후평동, 지하1층, 2,3,4,6층)",37.88007882,127.7502032,033-248-7500,2025-02-10
석사성모의원,의원,"강원특별자치도 춘천시 우석로101번길 86, 205.206호 (석사동, 석사대우아파트상가)",37.8824849,127.7478134,033-263-4589,2025-02-10
이봉휘내과의원,의원,강원특별자치도 춘천시 금강로 72 (조양동),37.8643851,127.7191001,033-242-4020,2025-02-10
고려비뇨기과의원,의원,강원특별자치도 춘천시 보안길 65 (후평동),37.88098822,127.7461558,033-242-7580,2025-02-10
문유보이비인후과의원,의원,강원특별자치도 춘천시 후석로 12 (석사동),37.87644002,127.7527169,033-261-7580,2025-02-10
미래산부인과의원,의원,강원특별자치도 춘천시 중앙로 118 (소양로4가),37.87674746,127.7219994,033-241-7677,2025-02-10
서울의원,의원,"강원특별자치도 춘천시 김유정로 1852-35, 3층 (퇴계동)",37.85121852,127.7360335,033-263-7658,2025-02-10
참가정의원,의원,강원특별자치도 춘천시 금강로 73 (조양동),37.86830986,127.715874,033-244-7582,2025-02-10
동락가정의학과의원,의원,강원특별자치도 춘천시 춘천로 185 (운교동),37.87891224,127.7294366,033-244-9977,2025-02-10
임정근내과의원,의원,강원특별자치도 춘천시 후석로 278 (후평동),37.87406906,127.7342625,033-244-3900,2025-02-10
연세주피부과의원,의원,강원특별자치도 춘천시 방송길 98 (온의동),37.86792307,127.720173,033-243-1777,2025-02-10
연세강이비인후과의원,의원,강원특별자치도 춘천시 금강로 72 (조양동),37.86745046,127.7532998,033-243-0815,2025-02-10
연세조안과의원,의원,"강원특별자치도  금강로 72, 3,5층 (흥만빌딩)",37.85597936,127.7393662,033-243-0309,2025-02-10
사랑정신건강의학과의원,의원,강원특별자치도 춘천시 영서로 2341 (온의동),37.87903665,127.7263672,033-257-0088,2025-02-10
복십자의원,의원,"강원특별자치도 춘천시 방송길 98-1, 3층 (온의동)",37.87917932,127.7259503,033-257-2057,2025-02-10
신해철신경외과의원,의원,"강원특별자치도 춘천시 중앙로 72, 1층 (중앙로2가)",37.85729418,127.7239003,033-254-2664,2025-02-10
현대의원,의원,"강원특별자치도 춘천시 행촌로 14, 상가동 205호 (퇴계동, 현대2차아파트 )",37.87702338,127.7261064,033-242-2231,2025-02-10
강원특별자치도 부속의원,의원,강원특별자치도 춘천시 중앙로 1 (봉의동),37.87003572,127.7281369,033-249-2426,2025-02-10
한세의원,의원,강원특별자치도 춘천시 효자로 127 (효자동),37.88542456,127.7296391,033-254-4939,2025-02-10
김호준외과의원,의원,강원특별자치도 춘천시 약사고개길 15 (죽림동),37.88422286,127.7476157,033-251-0129,2025-02-10
최병기재활의학과의원,의원,강원특별자치도 춘천시 안마산로 36 (퇴계동),37.87886636,127.7289032,033-256-5559,2025-02-10
후평성심의원,의원,강원특별자치도 춘천시 춘천로296번길 3 (후평동),37.85789107,127.7205,033-256-3638,2025-02-10
미즈앤미의원,의원,강원특별자치도 춘천시 춘천로 207 (효자동),37.8561319,127.7395491,033-256-1888,2025-02-10
김인구정형외과의원,의원,강원특별자치도 춘천시 공지로 346 (효자동),37.88005822,127.7273548,033-255-8033,2025-02-10
한국건강관리협회건강증진의원,의원,"강원특별자치도 춘천시 남춘로 50, 한국건강관리협회 신청사 1-6층 (효자동)",37.87965306,127.7282669,033-260-0800,2025-02-10
영의원,의원,강원특별자치도 춘천시 중앙로 55 (중앙로2가),37.8795846,127.7264592,033-244-0774,2025-02-10
이승훈내과의원,의원,강원특별자치도 춘천시 중앙로 66 (중앙로2가),37.88008384,127.7276265,033-253-5118,2025-02-10
한피부과의원,의원,강원특별자치도 춘천시 후석로 304 (후평동),37.87838913,127.7513271,033-253-3457,2025-02-10
최훈정형외과의원,의원,강원특별자치도 춘천시 후석로 376 (후평동),37.87624391,127.7207088,033-252-8400,2025-02-10
춘천영상의학과의원,의원,강원특별자치도 춘천시 중앙로 130 (소양로4가),37.8820781,127.7486535,033-254-2731,2025-02-10
인구보건복지협회강원지회가족보건의원,의원,강원특별자치도 춘천시 김유정로 1846 (퇴계동),37.87887255,127.7291176,033-260-8900,2025-02-10
춘천채안과의원,의원,강원특별자치도 춘천시 중앙로 69-1 (중앙로2가),37.85153958,127.7345304,033-254-2684,2025-02-10
황효섭비뇨기과의원,의원,강원특별자치도 춘천시 중앙로 88 (중앙로2가),37.86777897,127.7204033,033-252-7050,2025-02-10
박이비인후과의원,의원,강원특별자치도 춘천시 금강로 62 (조양동),37.90669944,127.7287733,033-253-4503,2025-02-10
