순번,단지명,사업자등록번호,전화번호,종업원수,생산품,공장대표주소(도로명),업종명,기준일자
17,춘천후평일반산업단지,2218147746,033-250-4452,3,수제비누,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 725호","치약, 비누 및 기타 세제 제조업",2025-02-06
18,춘천후평일반산업단지,8078601495,033-250-4051,0,기체여과기,"강원특별자치도 춘천시 후석로420번길 7, (후평동) 1동 3층 323호",기체 여과기 제조업,2025-02-06
19,춘천후평일반산업단지,7288702499,070-8895-7342,4,S/W개발,"강원특별자치도 춘천시 후석로462번길 7, 3층 307호 (후평동) 3층 307호",응용 소프트웨어 개발 및 공급업,2025-02-06
20,춘천후평일반산업단지,2218140141,033-250-3647,13,소프트웨어 개발 및 공급,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 9층 920호",응용 소프트웨어 개발 및 공급업,2025-02-06
21,춘천거두농공단지,,033-250-4051,7,친환경유기농자재,강원특별자치도 춘천시 동내면 거두단지1길 29,복합비료 및 기타 화학비료 제조업 외 3 종,2025-02-06
22,춘천후평일반산업단지,2218131884,033-250-3361,6,친환경농자재,"강원특별자치도 춘천시 소양강로 32, 춘천바이오산업진흥원 411호 (후평동)",복합비료 및 기타 화학비료 제조업 외 1 종,2025-02-06
23,춘천후평일반산업단지,,070-8895-7342,11,"의료기기, 의료용s/w","강원특별자치도 춘천시 후석로462번길 7, 2층 209호 (후평동) 2층 209호",그 외 기타 의료용 기기 제조업 외 1 종,2025-02-06
24,춘천동춘천일반산업단지,,070-8895-7349,38,"황기추출물, 헛개나무병추출분말등",,건강기능식품 제조업,2025-02-06
25,춘천후평일반산업단지,1948602194,070-8895-7342,1,연구개발,"강원특별자치도 춘천시 소양강로 56, 5동 3층 304호  (후평동)","물리, 화학 및 생물학 연구개발업",2025-02-06
26,춘천후평일반산업단지,5328600495,,4,"포장육, 양념육",강원특별자치도 춘천시 공단로 49 (후평동),육류 포장육 및 냉동육 가공업 (가금류 제외) 외 1 종,2025-02-06
27,춘천후평일반산업단지,2218146373,,12,화장품,"강원특별자치도 춘천시 소양강로 56, 5동 2층 205 (후평동, 춘천바이오벤처프라자) 5동 2층 205호",화장품 제조업,2025-02-06
28,춘천후평일반산업단지,2218500981,,10,경운기,"강원특별자치도 춘천시 삭주로145번길 73 (후평동, 대동공업주식회사)",농업 및 임업용 기계 제조업,2025-02-06
29,춘천후평일반산업단지,1148800078,033-250-3647,8,측량,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 7층 715호",측량업,2025-02-06
30,춘천후평일반산업단지,6148602776,070-8895-7342,13,s/w개발,"강원특별자치도 춘천시 후석로462번길 7, 3층 304호 (후평동) 3층 304호 외 1필지",시스템 소프트웨어 개발 및 공급업,2025-02-06
31,춘천후평일반산업단지,2538800295,033-250-3655,0,건축 적산,"강원특별자치도 춘천시 소양강로 10, 1동 6층 609호 (후평동) 1동 6층 609호",건축설계 및 관련 서비스업,2025-02-06
32,춘천수동농공단지,1298175626,033-250-4813,52,소프트웨어 자문 및 개발업,강원특별자치도 춘천시 남산면 버들1길 130,컴퓨터시스템 통합 자문 및 구축 서비스업,2025-02-06
33,춘천수동농공단지,1348108473,033-250-3361,198,기록매체복제,강원특별자치도 춘천시 남산면 버들1길 130,기록매체 복제업,2025-02-06
34,춘천수동농공단지,1078635992,,0,erp개발 및 판매,"강원특별자치도 춘천시 남산면 버들1길 130, 4층",컴퓨터시스템 통합 자문 및 구축 서비스업,2025-02-06
35,춘천후평일반산업단지,2218118561,070-8895-7349,0,"가축사료첨가제, 유기농업첨가제",강원특별자치도 춘천시 후석로462번길 21 (후평동),단미 사료 및 기타 사료 제조업 외 4 종,2025-02-06
36,춘천후평일반산업단지,2212682220,033-250-3088,25,침구류,강원특별자치도 춘천시 후석로462번길 29 (후평동),침구 및 관련제품 제조업,2025-02-06
37,춘천퇴계농공단지,2638102423,070-8895-7342,5,"계장제어장치, 빌딩자동제어장치, 프로세스제어반",강원특별자치도 춘천시 퇴계농공로 116 (퇴계동),배전반 및 전기 자동제어반 제조업 외 1 종,2025-02-06
38,춘천퇴계농공단지,4618100392,033-0250-4813,7,핫멜트 접착제,"강원특별자치도 춘천시 퇴계공단길 48 (퇴계동, (주)동덕)",접착제 및 젤라틴 제조업,2025-02-06
39,춘천후평일반산업단지,2218104733,033-250-3655,0,토목 설계,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 5층 522호",건물 및 토목 엔지니어링 서비스업,2025-02-06
40,춘천후평일반산업단지,1018704542,070-8895-7342,1,"시스템구축, 연구개발","강원특별자치도 춘천시 후석로462번길 7, 3층 308호 (후평동) 3층 308호",컴퓨터시스템 통합 자문 및 구축 서비스업 외 1 종,2025-02-06
41,춘천창촌농공단지,2218106371,033-250-3092,19,건물 부착용 금속공,강원특별자치도 춘천시 남산면 보매기길 65,구조용 금속 판제품 및 공작물 제조업 외 7 종,2025-02-06
42,춘천퇴계농공단지,2218139794,033-250-3088,6,전기회로,강원특별자치도 춘천시 퇴계공단1길 57 (퇴계동),메모리용 전자집적회로 제조업 외 5 종,2025-02-06
43,춘천후평일반산업단지,5038802790,070-8895-7342,6,살균장치,"강원특별자치도 춘천시 후석로462번길 7, 3층 314호 (후평동) 3층 314호",그 외 기타 의료용 기기 제조업,2025-02-06
44,춘천창촌농공단지,1328120296,033-0250-4813,31,"리본테이프, 헤어악세사리 외",강원특별자치도 춘천시 남산면 보매기길 64,그 외 기타 분류 안된 섬유제품 제조업,2025-02-06
45,춘천후평일반산업단지,2398602314,033-250-3655,0,"드라마, 영화","강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 420호",일반 영화 및 비디오물 제작업,2025-02-06
46,춘천후평일반산업단지,7688700150,033-250-4452,6,철도신호용품,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 405호",철도차량 부품 및 관련 장치물 제조업,2025-02-06
47,춘천퇴계농공단지,2218132210,033-250-4051,18,"조명기구,가로등주","강원특별자치도 춘천시 퇴계공단1길 56-9 (퇴계동, (주)태창화학)",일반용 전기 조명장치 제조업 외 9 종,2025-02-06
48,춘천후평일반산업단지,5358601377,033-250-4051,10,태양광발전기시공 중 구조물제작,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 424호 외 1필지",그 외 기타 금속가공업,2025-02-06
49,춘천후평일반산업단지,2218116850,033-250-4225,28,화장품,"강원특별자치도 춘천시 공단로 13 (후평동, 대봉종합식품)",화장품 제조업,2025-02-06
50,춘천거두농공단지,2218121329,,30,화장품,강원특별자치도 춘천시 동내면 거두단지1길 31,화장품 제조업,2025-02-06
51,춘천후평일반산업단지,2218141043,033-250-4225,6,X-ray 발생장치,"강원특별자치도 춘천시 삭주로145번길 69-14 (후평동, 벤처비지니스 살롱)",방사선 장치 제조업 외 1 종,2025-02-06
52,춘천도시첨단문화산업단지,2218141043,033-250-4225,31,의료기기,강원특별자치도 춘천시 서면 금산리 1010번지,의학 및 약학 연구개발업 외 5 종,2025-02-06
53,춘천도시첨단문화산업단지,2218141043,033-250-4225,31,의료기기,강원특별자치도 춘천시 서면 금산리 987번지,의학 및 약학 연구개발업 외 5 종,2025-02-06
54,춘천후평일반산업단지,7788801677,070-8895-7342,6,"울타리 재료 및 제품, 제재된 목재(목제데크재) 등, 교량난간 외","강원특별자치도 춘천시 후석로462번길 15, D동 101호 (후평동)",구조용 금속 판제품 및 공작물 제조업 외 4 종,2025-02-06
55,춘천후평일반산업단지,2228603052,070-8895-7342,4,"시스템구축, s/w개발","강원특별자치도 춘천시 후석로462번길 7, 3층 311호 (후평동) 3층 311호",컴퓨터 프로그래밍 서비스업 외 1 종,2025-02-06
56,춘천후평일반산업단지,2218116748,033-250-3092,17,"나노클래어-지와이,OP9(화장품)","강원특별자치도 춘천시 소양강로 32,  하이테크벤쳐타운 바이오 2 101,102 (후평동)",생물학적 제제 제조업 외 1 종,2025-02-06
57,남춘천일반산업단지,2218116748,070-8895-7349,7,"화장품, 화장품원료, 의약품원료, 건강식품",,화장품 제조업 외 2 종,2025-02-06
58,춘천후평일반산업단지,2218137893,033-250-4225,19,"침구,가방,홈패션",강원특별자치도 춘천시 후석로420번길 26 (후평동),침구 및 관련제품 제조업 외 1 종,2025-02-06
59,남춘천일반산업단지,2218142493,070-8895-7342,13,"폴리우레탄커버, 건강식품, 식품소재, 식품첨가물",강원특별자치도 춘천시 동산면 종자리로 33-30,건강기능식품 제조업 외 2 종,2025-02-06
60,춘천후평일반산업단지,2738101912,070-8895-7342,3,"조립형전자키트, 조립형전자키트","강원특별자치도 춘천시 후석로462번길 7, 3층 313호 (후평동) 3층 313호",인형 및 장난감 제조업,2025-02-06
61,춘천후평일반산업단지,2418102856,070-8895-7349,3,"자전거보관대, 조립식구조물, 알루미늄교량난간 등","강원특별자치도 춘천시 후석로462번길 21, 4동 1호 (후평동)",구조용 금속 판제품 및 공작물 제조업,2025-02-06
62,춘천후평일반산업단지,5028154689,033-250-3361,9,진단기기(HPV9G DNA CHIP KIT),"강원특별자치도 춘천시 소양강로 56, 바이오벤처프라자 2-3 (후평동)",의료용품 및 기타 의약 관련제품 제조업,2025-02-06
63,춘천퇴계농공단지,2218141913,033-0250-4813,6,"간판 및 광고물제조, 경인쇄업, 건축용나무제품,금속공작물 등",강원특별자치도 춘천시 퇴계공단1길 54 (퇴계동),간판 및 광고물 제조업 외 9 종,2025-02-06
64,춘천퇴계농공단지,1288133093,070-8895-7349,119,치과용 충전재,강원특별자치도 춘천시 퇴계공단1길 48 (퇴계동),의료용품 및 기타 의약 관련제품 제조업 외 1 종,2025-02-06
65,춘천후평일반산업단지,,070-8895-7342,1,치과치료제개발,"강원특별자치도 춘천시 소양강로 32, 춘천바이오타운 1~3동 (후평동)",의학 및 약학 연구개발업,2025-02-06
66,춘천퇴계농공단지,,070-8895-7349,40,홈메이드이유식,강원특별자치도 춘천시 퇴계농공로 118 (퇴계동),도시락류 제조업 외 1 종,2025-02-06
67,춘천퇴계농공단지,1198139870,033-250-3655,10,유아식품,강원특별자치도 춘천시 퇴계공단1길 27 (퇴계동),도시락류 제조업 외 1 종,2025-02-06
68,춘천후평일반산업단지,1208704903,070-8895-7342,3,응용소프트웨어 개발,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 424호",응용 소프트웨어 개발 및 공급업,2025-02-06
69,춘천후평일반산업단지,2218122954,,16,고철펠렛제품,강원특별자치도 춘천시 공단로70번길 11 (후평동),금속류 해체 및 선별업 외 1 종,2025-02-06
70,춘천퇴계농공단지,2218122482,033-250-4813,8,노즐,"강원특별자치도 춘천시 퇴계공단1길 56-16 (퇴계동, 메디코아펙스)","탭, 밸브 및 유사장치 제조업",2025-02-06
71,춘천거두농공단지,2218130323,033-250-3361,14,생체신호측정시스템,"강원특별자치도 춘천시 동내면 거두단지1길 27, (주)보템",전기식 진단 및 요법 기기 제조업,2025-02-06
72,춘천후평일반산업단지,8778802968,070-8895-7342,2,s/w개발,"강원특별자치도 춘천시 후석로462번길 7, 2층 211호 (후평동) 2층 211호",응용 소프트웨어 개발 및 공급업,2025-02-06
73,춘천후평일반산업단지,2218141233,033-250-3655,0,"영상제작, 사진","강원특별자치도 춘천시 후석로420번길 7, (후평동) 1동 8층 808호",일반 영화 및 비디오물 제작업,2025-02-06
74,춘천후평일반산업단지,,070-8895-7342,1,연구개발,"강원특별자치도 춘천시 소양강로 32, 춘천바이오타운 1~3동 (후평동)","물리, 화학 및 생물학 연구개발업",2025-02-06
75,춘천퇴계농공단지,1728800507,033-250-4813,1,미생물 자동 셀프 주입기 시스템,강원특별자치도 춘천시 퇴계공단1길 17 (퇴계동),기기용 자동측정 및 제어장치 제조업 외 1 종,2025-02-06
76,춘천퇴계농공단지,6618700413,033-250-3092,18,유아용 이유식,강원특별자치도 춘천시 퇴계공단1길 61-11 (퇴계동),수프 및 균질화식품 제조업,2025-02-06
77,춘천후평일반산업단지,2218121561,070-8895-7342,1,방송영상,"강원특별자치도 춘천시 후석로462번길 7, 2층 212호 (후평동) 2층 212호","영화, 비디오물 및 방송프로그램 제작 관련 서비스업",2025-02-06
78,퇴계제2농공단지,4518600823,070-8895-7349,9,일반용 전기조명 장치,강원특별자치도 춘천시 퇴계공단2길 57 (퇴계동),일반용 전기 조명장치 제조업 외 10 종,2025-02-06
79,춘천퇴계농공단지,2218100377,033-250-4813,1,창고업,"강원특별자치도 춘천시 퇴계농공로 93 (퇴계동, (주)새시대물류센타)",기타 보관 및 창고업,2025-02-06
80,춘천후평일반산업단지,2218142440,033-250-4051,4,인터렉티브 화이트보드,"강원특별자치도 춘천시 후석로420번길 7, 3층 304호(후평동) 3층 304호 3층 304호",기타 주변기기 제조업,2025-02-06
81,춘천후평일반산업단지,2218142440,070-8895-7342,5,전자화이트보드,"강원특별자치도 춘천시 후석로462번길 7, 4층 419호 (후평동) 4층 419호 외 1필지",기타 주변기기 제조업,2025-02-06
82,춘천퇴계농공단지,2218140874,070-8895-7349,11,"구조용 금속 판제품, 주방후드","강원특별자치도 춘천시 퇴계공단1길 83 (퇴계동, 새한공조닥트)",구조용 금속 판제품 및 공작물 제조업 외 14 종,2025-02-06
83,춘천퇴계농공단지,2218139611,033-250-4225,24,"광택패드, 세차용품 등","강원특별자치도 춘천시 퇴계공단1길 69, 외 1필지(퇴계동 857-6/857-5번지) (퇴계동)",그 외 기타 달리 분류되지 않은 제품 제조업,2025-02-06
84,퇴계제2농공단지,5098106612,070-8895-7349,5,"전분제품, 양념소스 등",강원특별자치도 춘천시 퇴계공단2길 40 (퇴계동),전분제품 및 당류 제조업 외 2 종,2025-02-06
85,춘천퇴계농공단지,8728602519,033-250-4225,0,호퍼,강원특별자치도 춘천시 퇴계공단1길 56-14(퇴계동),컨베이어장치 제조업 외 4 종,2025-02-06
86,춘천퇴계농공단지,,033-250-3655,8,배전판,"강원특별자치도 춘천시 퇴계농공로 116 (퇴계동, (주)성창)",배전반 및 전기 자동제어반 제조업 외 9 종,2025-02-06
87,춘천거두농공단지,2218128958,033-250-4051,24,"발효인삼(화장품소재), 갈락토미세스발효여과물, 화장품 완제품(외주가공)",강원특별자치도 춘천시 동내면 거두단지1길 50-1,화장품 제조업,2025-02-06
88,춘천후평일반산업단지,2248703093,070-8895-7349,5,포장 및 충전(화장품),"강원특별자치도 춘천시 후석로420번길 7, 2층 212호 (후평동) 2층 212호 외 2필지",포장 및 충전업,2025-02-06
89,춘천후평일반산업단지,1218547478,070-8895-7342,4,"앱개발, DB구축","강원특별자치도 춘천시 후석로462번길 7, 3층 316호 (후평동) 3층 316호",응용 소프트웨어 개발 및 공급업 외 1 종,2025-02-06
90,춘천후평일반산업단지,6978702555,070-8895-7342,2,의료기기,"강원특별자치도 춘천시 후석로462번길 7, 3층 319호 (후평동) 3층 319호",그 외 기타 의료용 기기 제조업,2025-02-06
91,춘천후평일반산업단지,2218134561,033-250-4051,4,화장품원료 (SE-Tripeptide),"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 523호 외 1필지",화장품 제조업,2025-02-06
92,춘천후평일반산업단지,2218127527,033-250-4452,2,"환경영향평가, 환경부지평가, 환경컨설팅, 해역이용평가 등","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 8층 804호",환경 관련 엔지니어링 서비스업,2025-02-06
93,춘천후평일반산업단지,2148709256,033-250-4452,15,공연관련 산업 및 행사 대행,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 511호","전시, 컨벤션 및 행사 대행업",2025-02-06
94,춘천후평일반산업단지,7968701891,033-250-4051,4,"UMB플랫폼, GNSS 플랫폼, GPS수신기","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 301호",그 외 기타 전자부품 제조업 외 1 종,2025-02-06
95,남춘천일반산업단지,1328609919,070-8895-7342,40,식물성 콩단백 식품,,두부 및 유사식품 제조업 외 1 종,2025-02-06
96,춘천후평일반산업단지,2218141572,070-8895-7342,3,"S/W개발, 홍보영상","강원특별자치도 춘천시 후석로462번길 7, 4층 407호 (후평동) 4층 407호",시스템 소프트웨어 개발 및 공급업 외 2 종,2025-02-06
97,춘천후평일반산업단지,1208192517,033-250-4225,2,"오징어연골 키토산, 프로폴리스",강원특별자치도 춘천시 후석로462번길 15 (후평동),건강보조용 액화식품 제조업 외 1 종,2025-02-06
98,춘천후평일반산업단지,,033-250-3655,23,안전진단관련 소프트웨어,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 4층 422호",기타 엔지니어링 서비스업 외 2 종,2025-02-06
99,춘천후평일반산업단지,2638101161,033-250-3647,3,경관 및 조경설계 엔지니어링 서비스,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 5층 512호",도시계획 및 조경설계 서비스업,2025-02-06
100,춘천후평일반산업단지,5078701423,070-8895-7342,12,S/W개발,"강원특별자치도 춘천시 후석로462번길 7, 4층 412호 (후평동) 4층 412호",응용 소프트웨어 개발 및 공급업,2025-02-06
101,춘천후평일반산업단지,8508701458,070-8895-7349,1,"비거주용 건물 개발 및 공급업, 비주거용 건물 임대업",강원특별자치도 춘천시 후석로420번길 7 (후평동),비주거용 건물 개발 및 공급업 외 1 종,2025-02-06
102,춘천창촌농공단지,1348140814,,20,전선,강원특별자치도 춘천시 남산면 보매기길 88,기타 절연선 및 케이블 제조업 외 1 종,2025-02-06
103,춘천거두농공단지,1388152743,070-8895-7349,42,의료기기(조직수복용생체재료),강원특별자치도 춘천시 동내면 거두단지1길 23,의료용품 및 기타 의약 관련제품 제조업,2025-02-06
104,춘천거두농공단지,1388152743,070-8895-7342,60,히알루론산 필러(의약품 원료),강원특별자치도 춘천시 동내면 거두단지길 34,의료용품 및 기타 의약 관련제품 제조업,2025-02-06
105,춘천후평일반산업단지,1188100687,,0,버섯배양물,"강원특별자치도 춘천시 후석로462번길 21, (주)아탑 (후평동)",생물학적 제제 제조업,2025-02-06
106,춘천후평일반산업단지,1288113103,,4,고철,"강원특별자치도 춘천시 삭주로145번길 85 (후평동, 안국폐차장)",금속류 해체 및 선별업 외 1 종,2025-02-06
107,춘천퇴계농공단지,1298153578,033-250-4813,11,일반창고업,"강원특별자치도 춘천시 퇴계공단1길 5 (퇴계동, (주)대성산업춘천공장)",일반 창고업,2025-02-06
108,춘천거두농공단지,2158193416,070-8895-7342,60,"동물약품, 보조사료, 단미사료, 살균제, 탈취제",강원특별자치도 춘천시 동내면 거두단지1길 39,배합 사료 제조업 외 4 종,2025-02-06
109,남춘천일반산업단지,2158193416,,0,"동물의약품, 단미사료, 보조사료",,단미 사료 및 기타 사료 제조업,2025-02-06
110,남춘천일반산업단지,2938700637,070-8895-7349,0,비제조업,,일반 창고업,2025-02-06
111,춘천퇴계농공단지,6038192201,033-250-3655,7,"벤치, 체력 운동기구","강원특별자치도 춘천시 퇴계공단1길 5, 103호(퇴계동)",기타 목재가구 제조업 외 2 종,2025-02-06
112,춘천거두농공단지,2238109243,070-8895-7349,2,화장품,강원특별자치도 춘천시 동내면 거두단지2길 30,화장품 제조업,2025-02-06
113,춘천퇴계농공단지,2218135880,033-0250-4813,6,"항온항습기, 전기보일러, 공조기",강원특별자치도 춘천시 퇴계공단1길 58 (퇴계동),공기 조화장치 제조업 외 2 종,2025-02-06
114,춘천후평일반산업단지,1628801310,033-250-3655,0,소프트웨어,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 3층 315호",컴퓨터시스템 통합 자문 및 구축 서비스업 외 2 종,2025-02-06
115,춘천후평일반산업단지,1528600324,070-8895-7342,1,연구개발,"강원특별자치도 춘천시 소양강로 56, 5동 3층 309호  (후평동)","물리, 화학 및 생물학 연구개발업",2025-02-06
116,춘천후평일반산업단지,2218115996,033-250-3361,10,"홍국-F, 건강보조식품","강원특별자치도 춘천시 소양강로 56, 춘천바이오벤처프라자3-6 (후평동)",건강보조용 액화식품 제조업 외 2 종,2025-02-06
117,남춘천일반산업단지,2218115996,,32,"화장품, 천연물발효기능성소재","강원특별자치도 춘천시 소양강로 56, 4동 3층 3-8 (후평동)",화장품 제조업 외 1 종,2025-02-06
118,춘천도시첨단문화산업단지,2218142789,070-8895-7342,10,"LED디스플레이보드, 태양전지가로등",강원특별자치도 춘천시 서면 박사로 898,기타 표시장치 제조업 외 5 종,2025-02-06
119,춘천퇴계농공단지,2218142789,033-250-3655,10,"LED전광판, LED제품, 건물번호판, 도로표지판류",강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),전시 및 광고용 조명장치 제조업 외 6 종,2025-02-06
120,춘천거두농공단지,5338100815,033-250-3655,0,"배전반 및 전기자동제어반 등, 전시 및 광고용 조명장치",강원특별자치도 춘천시 동내면 거두단지2길 24,배전반 및 전기 자동제어반 제조업 외 4 종,2025-02-06
121,춘천퇴계농공단지,2218116898,070-8895-7349,37,컴퓨터 헤드.하이브리드 가로등 및기기발전기,"강원특별자치도 춘천시 퇴계농공로 112 (퇴계동, (주)퓨처미디어)",그 외 기타 전자부품 제조업 외 7 종,2025-02-06
122,춘천후평일반산업단지,3958103001,070-8895-7349,1,"식품원료, 건기식원료, 화장품원료 등 연구개발","강원특별자치도 춘천시 소양강로 32, BIO-1동 313호, 215-2호, 2동 B101호 (후평동)",자연과학 및 공학 융합 연구개발업,2025-02-06
123,춘천거두농공단지,2218122425,033-250-3361,7,여과기.화학약품,강원특별자치도 춘천시 동내면 거두단지1길 33,그 외 기타 분류 안된 화학제품 제조업 외 3 종,2025-02-06
124,춘천후평일반산업단지,2128146516,070-8895-7349,2,정화 컨설팅,"강원특별자치도 춘천시 소양강로 10, (후평동) 1동 9층 904호",토양 및 지하수 정화업 외 1 종,2025-02-06
125,춘천후평일반산업단지,2218138344,033-250-3647,9,축산 컨설팅,"강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 4층 433호",경영 컨설팅업,2025-02-06
126,춘천퇴계농공단지,2218131924,033-250-4813,5,창호,강원특별자치도 춘천시 퇴계공단길 56 (퇴계동),"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",2025-02-06
127,춘천창촌농공단지,2218117048,,83,기화기밸브,강원특별자치도 춘천시 남산면 보매기길 56 ((주)엔지브이아이),자동차 엔진용 신품 부품 제조업 외 4 종,2025-02-06
128,춘천퇴계농공단지,7278100351,070-8895-7349,5,"천막, 차양텐트","강원특별자치도 춘천시 퇴계공단1길 77, 가동 (퇴계동)","천막, 텐트 및 유사 제품 제조업",2025-02-06
129,춘천후평일반산업단지,2218148347,033-250-4225,5,의료용레이저기기,강원특별자치도 춘천시 공단로 49 (후평동),그 외 기타 의료용 기기 제조업,2025-02-06
130,춘천퇴계농공단지,2218115550,033-250-4813,27,닭갈비,"강원특별자치도 춘천시 퇴계공단1길 56-15 (퇴계동, 오도푸드서비스(주))",가금류 가공 및 저장 처리업,2025-02-06
131,춘천후평일반산업단지,3868602129,070-8895-7342,5,S/W개발,"강원특별자치도 춘천시 후석로462번길 7, 2층 201호 (후평동) 2층 201호",응용 소프트웨어 개발 및 공급업,2025-02-06
132,춘천후평일반산업단지,6108196049,033-250-3647,6,"3D, 4D 도면설계서비스, BIM 건축설계서비스","강원특별자치도 춘천시 후석로420번길 7,(후평동) 1동 3층 322호",컴퓨터 프로그래밍 서비스업,2025-02-06
133,춘천퇴계농공단지,2218116734,033-250-4225,3,"방송장비, 영상감시장치, 옥외조명설비 등",강원특별자치도 춘천시 퇴계공단1길 13(퇴계동),그 외 기타 플라스틱 제품 제조업 외 16 종,2025-02-06
134,춘천퇴계농공단지,8998701899,,8,"배전반,계장(계측)제어장치,자동제어반","강원특별자치도 춘천시 퇴계공단1길 5, 114호 (퇴계동, (주)대성산업춘천공장)",배전반 및 전기 자동제어반 제조업,2025-02-06
135,춘천퇴계농공단지,4758800105,,6,"식생토낭 및 직물포대, 보행매트, 식생매트",강원특별자치도 춘천시 퇴계공단1길 56-7 (퇴계동),직물포대 제조업 외 3 종,2025-02-06
136,춘천창촌농공단지,3918803110,070-8895-7349,0,전기,강원특별자치도 춘천시 남산면 보매기길 75,태양력 발전업,2025-02-06
137,춘천퇴계농공단지,,070-8895-7342,0,전기,"강원특별자치도 춘천시 퇴계공단1길 57, 첨단정보통신주식회사 (퇴계동)",태양력 발전업,2025-02-06
138,춘천퇴계농공단지,,070-8895-7342,0,전기,"강원특별자치도 춘천시 퇴계공단1길 56-15 (퇴계동, 오도푸드서비스(주))",태양력 발전업,2025-02-06
139,춘천퇴계농공단지,2218507723,033-250-3655,0,비거주용건물 임대업,강원특별자치도 춘천시 퇴계공단1길 41 (퇴계동),비주거용 건물 임대업,2025-02-06
