시도,시군구,웹사이트이름,웹사이트주소,구축년도,담당부서,데이터기준일
강원특별자치도,춘천시,인공태양 연구도시 홈페이지,http://www.chuncheon.go.kr/kstar,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,생활민원사업소 홈페이지,http://www.chuncheon.go.kr/life-civil-complaint,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,환경사업소 홈페이지,http://www.chuncheon.go.kr/environment,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,서울사무소 홈페이지,https://www.chuncheon.go.kr/seoul-office,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,대표홈페이지 검색,https://www.chuncheon.go.kr/search,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,통하는시장실,https://www.chuncheon.go.kr/mayor/,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,춘천행복알리미,https://www.chuncheon.go.kr/happiness/,2022,소통담당관,2025-02-11
강원특별자치도,춘천시,춘천시 자원봉사센터,http://www.ccvc1365.kr/,2018,자치행정과,2025-02-11
강원특별자치도,춘천시,청소년 영어스피치대회,https://cc.chuncheon.go.kr,2023,교육도시과,2025-02-11
강원특별자치도,춘천시,춘천시 평생학습 통합플랫폼,https://bwb.chuncheon.go.kr,2024,교육도시과,2025-02-11
